#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.68e+01    6.83e+00      2.13e-01    6.45e-01      5.31e-01    2.15e-01    5.0e-04
    100      1.35e+01    1.95e+01      2.79e-02    2.54e-01      4.26e-01    6.16e-01    5.0e-04
    200      9.25e+00    7.43e+00      7.46e-02    6.14e-02      2.93e-01    2.35e-01    5.0e-04
    300      8.82e+00    8.93e+00      5.28e-01    4.18e-01      2.78e-01    2.82e-01    5.0e-04
    400      7.04e+00    1.53e+01      9.76e-02    2.17e-02      2.22e-01    4.82e-01    5.0e-04
    500      3.85e+00    8.35e+00      8.25e-01    1.08e-01      1.16e-01    2.64e-01    5.0e-04
    600      8.50e+00    1.05e+01      1.61e-03    4.27e-01      2.69e-01    3.32e-01    5.0e-04
    700      4.07e+00    5.96e+00      7.29e-02    3.62e-02      1.29e-01    1.88e-01    5.0e-04
    800      9.26e+00    1.45e+01      1.07e-02    4.96e-02      2.93e-01    4.59e-01    5.0e-04
    900      8.46e+00    7.87e+00      2.73e-01    3.36e-01      2.67e-01    2.49e-01    5.0e-04
   1000      1.02e+01    7.02e+00      3.93e-02    1.38e-01      3.21e-01    2.22e-01    5.0e-04
   1100      1.06e+01    7.10e+00      9.58e-02    3.04e-01      3.37e-01    2.24e-01    5.0e-04
   1200      7.13e+00    3.47e+00      1.96e-01    5.45e-01      2.25e-01    1.06e-01    5.0e-04
   1300      9.04e+00    1.00e+01      1.46e-01    2.86e-01      2.86e-01    3.17e-01    5.0e-04
   1400      1.26e+01    5.38e+00      1.99e-01    5.13e-01      3.97e-01    1.68e-01    5.0e-04
   1500      1.00e+01    7.81e+00      6.47e-02    1.52e-01      3.16e-01    2.47e-01    5.0e-04
   1600      4.76e+00    8.08e+00      6.03e-03    7.81e-02      1.51e-01    2.56e-01    5.0e-04
   1700      6.17e+00    9.45e+00      2.63e-01    1.61e-01      1.95e-01    2.99e-01    5.0e-04
   1800      5.45e+00    5.50e+00      1.34e-01    2.51e-01      1.72e-01    1.74e-01    5.0e-04
   1900      4.56e+00    8.02e+00      5.17e-01    1.86e-01      1.44e-01    2.53e-01    5.0e-04
   2000      2.10e+01    7.07e+00      3.37e-01    3.09e-01      6.64e-01    2.23e-01    5.0e-04
   2100      6.32e+00    5.43e+00      3.68e-02    2.83e-01      2.00e-01    1.71e-01    5.0e-04
   2200      7.80e+00    6.27e+00      4.08e-01    2.66e-01      2.46e-01    1.98e-01    5.0e-04
   2300      3.86e+00    5.69e+00      1.31e-01    2.09e-01      1.22e-01    1.80e-01    5.0e-04
   2400      3.88e+00    7.72e+00      1.89e-01    1.46e-01      1.23e-01    2.44e-01    5.0e-04
   2500      5.84e+00    1.33e+01      4.57e-02    4.00e-01      1.85e-01    4.19e-01    5.0e-04
   2600      1.09e+01    7.41e+00      4.36e-01    7.98e-01      3.44e-01    2.33e-01    5.0e-04
